Case_ID	Project	B2M	HLA-C	HLA-A	HLA-B
01OV030	Ovarian_Cancer	329.2536	161.5108	101.5597	132.6522
05BR058	Breast_Cancer	2528.298	3122.0431	3858.4045	3652.5979
14OV011	Ovarian_Cancer	1717.9265	785.6842	640.3124	1261.6487
11BR056	Breast_Cancer	1371.9034	601.0802	387.8143	605.2449
11BR054	Breast_Cancer	2624.7486	2708.6743	1131.7829	2886.7599
05CO002	Colon_Cancer	1895.0384	1205.2701	1009.4887	1959.5983
09CO006	Colon_Cancer	2083.9075	571.2902	265.6576	847.4239
17OV036	Ovarian_Cancer	3043.3045	399.3173	621.3166	738.6971
11CO027	Colon_Cancer	3540.3561	644.9779	1016.4424	1339.8621
11BR072	Breast_Cancer	1580.2971	912.1211	614.6762	795.263
15CO002	Colon_Cancer	1525.7666	1018.7865	653.6861	1123.2811
14BR005	Breast_Cancer	1281.4609	1469.706	701.3803	1068.2892
04OV049	Ovarian_Cancer	2038.8247	1078.2109	696.4019	1222.545
11BR017	Breast_Cancer	1690.5104	1574.2933	861.4448	1635.3751
02OV046	Ovarian_Cancer	4672.3715	1118.3983	1127.3009	1428.0536
05CO044	Colon_Cancer	915.174	683.4004	866.9997	625.9117
11BR023	Breast_Cancer	4057.9232	2125.4988	2032.874	4454.1277
20OV005	Ovarian_Cancer	681.4301	132.8242	97.4797	118.1143
01CO005	Colon_Cancer	1304.7264	641.4716	1212.2522	1218.8341
11BR059	Breast_Cancer	965.3616	554.2739	269.9516	582.7835
09CO019	Colon_Cancer	1187.0882	488.8243	690.2478	1072.0917
22CO006	Colon_Cancer	4050.7222	1240.7989	2014.9646	3292.9071
11OV002	Ovarian_Cancer	3632.7612	924.2613	682.2719	1608.5557
100004012	Other	2349.8895	2465.9081	1918.8825	3092.2848
13BR009	Breast_Cancer	1143.578	1110.3264	574.4933	988.021
09CO008	Colon_Cancer	1374.0787	675.3581	749.7939	1215.9059
11BR050	Breast_Cancer	3094.8716	899.176	788.0511	1310.8127
18BR006	Breast_Cancer	1385.0189	766.3104	493.9515	684.8049
01BR043	Breast_Cancer	2136.6668	1004.6735	1205.5797	1142.1973
18BR007	Breast_Cancer	1331.704	934.8267	460.1567	769.7451
26OV011	Ovarian_Cancer	1293.1718	692.677	562.402	761.6221
05CO048	Colon_Cancer	1522.8756	1272.8147	1275.8203	2109.7973
05CO055	Colon_Cancer	3135.1879	827.8779	1119.4567	2497.6607
01CO013	Colon_Cancer	827.6804	900.991	703.4692	1060.3654
11BR043	Breast_Cancer	1991.8567	1143.476	820.0348	1211.2413
05CO041	Colon_Cancer	2851.5684	1428.784	549.0202	1662.3559
11CO079	Colon_Cancer	899.9828	913.8089	814.1262	957.9992
01BR031	Breast_Cancer	1405.8111	1147.8517	1158.0215	1788.2381
02OV045	Ovarian_Cancer	2985.1672	2160.8317	1319.6915	2146.0683
05BR052	Breast_Cancer	1480.3226	329.2741	629.3229	509.4942
04OV040	Ovarian_Cancer	804.8606	540.5128	436.089	800.846
04OV021	Ovarian_Cancer	2475.3856	962.1099	667.0466	1271.7614
02OV029	Ovarian_Cancer	1230.2213	770.8263	548.89	1136.8733
11CO008	Colon_Cancer	2615.423	898.8649	806.2632	974.8055
04OV041	Ovarian_Cancer	1359.4207	286.5379	382.9916	716.6634
04OV012	Ovarian_Cancer	1407.8233	840.0915	740.9379	983.035
01BR042	Breast_Cancer	2334.1833	1130.5865	1835.6962	1956.8892
11CO030	Colon_Cancer	1142.6158	504.9086	605.8573	1023.2847
1488	Other	355.9993	259.1087	698.9615	516.9508
02OV032	Ovarian_Cancer	3186.5121	1202.4958	865.1869	1749.8134
05CO039	Colon_Cancer	3647.1327	1207.4863	412.5856	2206.5975
17OV030	Ovarian_Cancer	4555.825	2309.8176	1870.5001	2936.6877
11BR030	Breast_Cancer	3062.4297	1947.4956	1045.6993	1936.9684
05BR045	Breast_Cancer	509.361	962.1121	808.2688	998.2681
11BR028	Breast_Cancer	530.1879	433.63	155.3663	261.033
01BR030	Breast_Cancer	2024.2484	1778.1425	1031.1695	1836.6342
18BR010	Breast_Cancer	1502.989	762.6394	483.6138	740.9677
11BR053	Breast_Cancer	1523.0733	527.7316	286.9452	399.9468
21CO006	Colon_Cancer	3600.5781	918.7685	897.4576	1962.7344
04OV036	Ovarian_Cancer	1515.5941	736.9929	617.4843	1052.2315
11CO054	Colon_Cancer	1814.6469	1962.1113	1820.3204	2816.1408
09CO005	Colon_Cancer	1388.7688	857.2337	943.427	884.863
02OV040	Ovarian_Cancer	2656.4973	609.053	1013.7446	1229.6362
11BR032	Breast_Cancer	2275.9334	929.5804	407.1866	973.2449
11CO031	Colon_Cancer	6912.4208	947.0158	413.8894	1147.8856
05BR009	Breast_Cancer	1294.4974	709.6273	364.8739	740.6573
11BR010	Breast_Cancer	3181.7903	1875.4484	1501.3425	2569.4227
02OV006	Ovarian_Cancer	3147.8735	829.2461	727.1527	1095.3083
11BR058	Breast_Cancer	1324.6381	689.6117	384.4582	676.6756
05CO035	Colon_Cancer	845.514	564.1495	688.5982	847.2595
01CO019	Colon_Cancer	1411.2915	573.7992	684.7636	818.0599
01BR025	Breast_Cancer	949.6264	544.5468	150.1377	232.4173
18BR003	Breast_Cancer	2317.6372	1319.6414	773.685	1222.0815
01CO015	Colon_Cancer	1825.9025	990.1475	1381.6172	3070.8633
11BR018	Breast_Cancer	1941.632	1147.7427	691.8846	1234.475
11BR022	Breast_Cancer	1428.2338	785.6141	434.5255	937.9258
11CO058	Colon_Cancer	1406.0213	646.8013	566.1713	699.1012
04OV050	Ovarian_Cancer	651.5231	207.2933	248.2746	242.5551
16CO002	Colon_Cancer	587.6346	219.433	301.8754	377.2861
04OV053	Ovarian_Cancer	1377.9617	524.1484	511.5598	934.5494
09BR004	Breast_Cancer	267.9503	182.8606	217.7464	261.5496
11BR042	Breast_Cancer	1622.3199	779.2019	405.9185	699.4087
17OV029	Ovarian_Cancer	1459.5835	725.1155	657.6558	1210.2952
04OV004	Ovarian_Cancer	984.7732	1069.3992	1349.5719	2019.2614
04OV057	Ovarian_Cancer	2959.93	382.5244	826.7113	625.1555
01BR023	Breast_Cancer	374.861	275.8069	111.4397	239.9781
20CO003	Colon_Cancer	4174.8591	1923.3143	2591.1395	3954.4306
17OV013	Ovarian_Cancer	812.665	633.198	387.8129	435.3942
11BR024	Breast_Cancer	3148.1445	2513.3722	1760.9441	3451.8661
01OV017	Ovarian_Cancer	3189.3235	1214.0858	1139.5597	1385.9964
17OV015	Ovarian_Cancer	1104.7027	497.2109	501.866	650.3087
11BR006	Breast_Cancer	1219.0513	873.2609	324.7551	586.8602
05CO014	Colon_Cancer	1429.6445	895.5801	958.9356	1510.8993
01BR009	Breast_Cancer	1611.5499	627.5856	616.5786	896.0389
04OV008	Ovarian_Cancer	1226.0223	1112.4948	869.2203	1179.3181
16BR012	Breast_Cancer	1003.4108	1058.121	427.9278	502.221
03BR004	Breast_Cancer	766.6218	523.484	184.0418	477.7235
11CO072	Colon_Cancer	1860.0968	1357.8669	1206.8627	1733.2659
11BR011	Breast_Cancer	2407.6508	1107.402	757.5527	1495.6971
05BR026	Breast_Cancer	1686.9575	1069.2079	722.1181	1172.7998
11BR040	Breast_Cancer	1264.0829	1081.9104	373.0975	925.2477
18BR004	Breast_Cancer	882.872	961.5806	154.2415	445.7903
05CO053	Colon_Cancer	3261.7663	1188.1824	1031.4164	1632.5044
18BR017	Breast_Cancer	1291.7082	704.8168	436.0292	602.5727
11BR047	Breast_Cancer	1636.4129	1202.3845	574.8728	955.1907
26OV008	Ovarian_Cancer	670.5857	207.5465	287.9029	259.5605
02OV023	Ovarian_Cancer	1373.1804	571.8344	434.0432	871.5699
11BR003	Breast_Cancer	3763.585	1982.6467	1730.5338	4784.3832
11CO060	Colon_Cancer	2280.7764	1542.266	1248.8796	2163.28
20BR008	Breast_Cancer	1340.909	242.922	177.7126	364.7174
04OV024	Ovarian_Cancer	1021.874	1066.7319	665.4099	660.9783
11BR069	Breast_Cancer	918.4202	457.1519	199.6547	571.2753
05BR055	Breast_Cancer	712.4296	370.8434	413.8455	623.3644
11CO048	Colon_Cancer	1847.4851	1741.0978	1135.8118	1658.8729
11CO042	Colon_Cancer	772.9073	1073.1872	645.5033	1245.0465
11CO047	Colon_Cancer	1186.6049	505.6823	758.4904	1159.1991
11CO007	Colon_Cancer	5290.3044	2426.5527	2498.086	3935.4882
11BR014	Breast_Cancer	1752.7081	1073.3508	778.3802	1132.2565
01OV010	Ovarian_Cancer	6500.5216	1598.8449	1808.3911	3216.1726
18BR016	Breast_Cancer	1148.6693	1290.8225	363.7229	793.2007
05CO026	Colon_Cancer	1105.1427	673.3325	643.375	1086.7275
17OV039	Ovarian_Cancer	1245.8342	288.9855	275.8933	284.6659
01CO022	Colon_Cancer	2717.0313	898.4939	1124.9356	1094.5291
03BR010	Breast_Cancer	859.3197	765.9382	227.5601	534.4715
11BR015	Breast_Cancer	484.8378	524.5181	144.5065	399.6972
17OV033	Ovarian_Cancer	864.9394	634.6275	348.1488	414.9565
01CO001	Colon_Cancer	2520.0932	832.0169	664.9208	1237.9643
11BR016	Breast_Cancer	1169.5206	910.5694	814.8298	1267.1
01OV008	Ovarian_Cancer	1025.0632	701.4864	730.8915	618.6726
01BR033	Breast_Cancer	1334.0603	514.2474	401.6294	757.4308
05BR031	Breast_Cancer	1626.5257	996.1409	487.6486	790.268
11BR073	Breast_Cancer	1608.9839	728.919	431.8981	944.5477
01OV039	Ovarian_Cancer	2597.2597	3096.275	2493.4429	5484.6169
05CO020	Colon_Cancer	1060.3325	647.9	556.1942	763.8355
04OV013	Ovarian_Cancer	549.6674	412.1768	605.2021	786.03
04OV017	Ovarian_Cancer	289.9322	215.7888	206.9406	241.4266
26OV013	Ovarian_Cancer	2063.6056	442.2553	485.4452	799.9154
05CO029	Colon_Cancer	2752.1038	883.4972	680.6748	1556.8628
15CO001	Colon_Cancer	1414.7522	1255.2043	1724.3774	1714.3634
26OV002	Ovarian_Cancer	636.6649	304.7145	279.8208	201.6065
14CO002	Colon_Cancer	1471.8214	787.4346	841.0471	1206.6097
03BR006	Breast_Cancer	427.175	397.6319	466.764	689.5963
01BR017	Breast_Cancer	1869.023	710.783	699.7172	1057.5867
11CO057	Colon_Cancer	1375.9598	678.0624	866.9498	1017.9061
21CO007	Colon_Cancer	906.255	422.9874	193.1302	411.1207
17OV027	Ovarian_Cancer	2912.7229	794.7187	666.4459	1011.06
13OV003	Ovarian_Cancer	2008.9479	277.7716	355.8632	596.3637
02OV036	Ovarian_Cancer	1891.9634	1043.5811	650.4707	1924.8289
11CO044	Colon_Cancer	1861.6574	2186.4904	1589.4068	2468.7384
11CO070	Colon_Cancer	1987.0874	772.8249	435.3272	1140.5256
18BR009	Breast_Cancer	1587.227	902.4819	607.9691	754.6092
11CO019	Colon_Cancer	1314.7228	1029.172	1003.0356	1541.9174
01OV019	Ovarian_Cancer	1651.1045	412.4921	696.0669	591.0044
11BR031	Breast_Cancer	2330.5324	1468.8156	892.1912	1407.2458
11CO005	Colon_Cancer	2216.0402	1103.3548	929.0552	1089.8355
100002921	Other	1362.9798	284.9958	419.0006	776.962
17OV014	Ovarian_Cancer	1767.2707	388.4527	428.6593	918.9994
11CO021	Colon_Cancer	1538.2724	773.5857	767.7785	1116.9882
05CO015	Colon_Cancer	2811.0331	1430.4607	1199.026	2179.7701
11CO032	Colon_Cancer	2323.3193	997.4126	677.837	1360.4583
04OV005	Ovarian_Cancer	1127.311	482.3338	370.0491	525.2593
16CO012	Colon_Cancer	3243.6006	801.7427	628.4745	1400.8908
11BR012	Breast_Cancer	1305.8476	679.1259	734.3165	850.1444
22BR006	Breast_Cancer	1061.4614	487.883	374.2593	543.322
17OV040	Ovarian_Cancer	1957.1872	725.4857	708.3465	1118.3241
11BR074	Breast_Cancer	1687.5109	1112.4984	722.4739	1023.3774
14BR008	Breast_Cancer	1372.2371	1152.6013	713.1432	932.489
01BR018	Breast_Cancer	2585.7531	1393.8943	1659.2551	2480.5518
09BR001	Breast_Cancer	131.9727	134.1985	181.1743	180.1765
11BR060	Breast_Cancer	2452.578	1330.8518	1354.4822	1497.9043
22OV001	Ovarian_Cancer	3418.554	963.5692	809.2725	1635.662
01BR026	Breast_Cancer	1927.9355	739.9112	953.2038	1181.9587
11CO051	Colon_Cancer	1169.6467	1754.9119	1347.4349	2050.7048
06BR005	Breast_Cancer	1862.077	762.7026	857.8645	1275.583
13OV004	Ovarian_Cancer	3358.9038	995.1651	1000.1689	1999.7689
11CO077	Colon_Cancer	2030.8644	1070.0762	934.861	1688.563
11BR080	Breast_Cancer	3686.3734	2688.7118	1429.44	3292.9672
04OV055	Ovarian_Cancer	1992.944	512.1176	853.3572	1070.9397
11BR075	Breast_Cancer	1276.6299	385.5926	316.8249	415.4401
04OV031	Ovarian_Cancer	1250.4682	476.1593	421.2847	613.2235
11CO039	Colon_Cancer	3047.2961	720.6148	943.612	1192.5634
02OV035	Ovarian_Cancer	2352.062	1402.3943	731.2572	1659.5714
11CO052	Colon_Cancer	3274.2226	1406.512	726.3083	2128.8911
11BR051	Breast_Cancer	2049.332	1421.9999	718.0359	837.7218
05CO005	Colon_Cancer	2719.6357	626.1202	1140.7746	1302.6912
14BR014	Breast_Cancer	926.2415	745.7944	337.8863	654.5153
01BR010	Breast_Cancer	581.3551	497.3669	214.4431	317.9559
04OV018	Ovarian_Cancer	1242.8759	646.0238	444.7479	857.6399
09BR007	Breast_Cancer	1194.224	880.5265	368.1731	680.7132
05CO007	Colon_Cancer	1691.5584	1198.992	1058.0993	1681.6624
11BR055	Breast_Cancer	1413.899	993.9817	591.7759	813.0914
05BR005	Breast_Cancer	949.6494	418.7984	411.257	689.4695
11CO033	Colon_Cancer	2261.7345	1282.874	1466.1195	1812.9917
03BR012	Breast_Cancer	334.7707	241.8038	124.355	164.6882
11CO022	Colon_Cancer	1390.1379	506.5239	444.0416	672.681
05BR003	Breast_Cancer	1643.3735	699.9272	615.429	889.3838
04OV054	Ovarian_Cancer	868.3034	751.3626	755.6461	774.8242
604	Other	962.6429	1641.405	1716.823	2107.0057
11CO020	Colon_Cancer	1196.8473	1010.5023	950.4537	1517.2672
05CO033	Colon_Cancer	3233.9286	836.2708	1137.9718	2002.757
05CO045	Colon_Cancer	3390.0668	959.4465	835.1953	1577.2893
11CO045	Colon_Cancer	1626.1837	1824.216	1269.6981	2219.9501
04OV001	Ovarian_Cancer	918.0943	888.8743	643.4489	881.4018
01OV018	Ovarian_Cancer	2625.8416	740.9961	826.6558	1455.7741
09BR005	Breast_Cancer	1806.4017	858.6509	735.4525	558.4874
01CO008	Colon_Cancer	763.4701	244.839	165.4738	288.8146
11BR004	Breast_Cancer	5445.4621	3151.5117	2119.6465	2573.2196
17OV017	Ovarian_Cancer	1015.398	297.4071	213.2047	474.7564
04OV063	Ovarian_Cancer	879.7016	753.0134	758.1154	2182.1105
09CO011	Colon_Cancer	2107.8859	1427.085	1861.7724	2511.4753
01OV023	Ovarian_Cancer	1310.3133	534.1301	856.2817	1153.8543
11CO062	Colon_Cancer	2158.853	670.8104	1016.8323	990.2471
03BR013	Breast_Cancer	1378.0175	1050.2898	549.9975	920.5505
14CO005	Colon_Cancer	1464.2041	680.4455	794.1608	969.5362
11OV009	Ovarian_Cancer	298.546	115.974	125.4726	129.22
01BR032	Breast_Cancer	1384.7857	1811.3083	1028.8358	1043.039
05BR004	Breast_Cancer	1084.9997	568.7261	319.4941	504.2877
15BR003	Breast_Cancer	1223.7858	832.6359	440.241	956.3265
11BR044	Breast_Cancer	1752.4839	1226.4617	719.6764	1374.8192
04OV048	Ovarian_Cancer	1827.5597	1185.513	587.5854	1172.177
01OV002	Ovarian_Cancer	5656.04	3837.4567	1968.2921	3361.9619
05BR044	Breast_Cancer	896.4601	610.1176	301.5721	634.0216
24CO005	Colon_Cancer	4513.7843	777.179	1606.2698	2230.9467
01OV041	Ovarian_Cancer	1041.0831	968.5289	552.3624	917.9918
01OV047	Ovarian_Cancer	3685.2676	955.7307	1072.2036	1215.2597
05CO003	Colon_Cancer	2207.559	914.6741	433.2681	690.6065
09CO022	Colon_Cancer	2310.1508	1231.565	916.9137	1561.3358
02OV041	Ovarian_Cancer	3894.5363	800.5073	733.464	1042.3284
09CO013	Colon_Cancer	1904.6233	882.5091	1269.6407	1679.8678
17OV001	Ovarian_Cancer	1554.9516	1691.3939	1004.3552	2002.3877
27CO004	Colon_Cancer	1725.1356	647.156	550.8938	721.6541
06CO002	Colon_Cancer	1377.1434	957.9475	716.9035	983.5692
02OV008	Ovarian_Cancer	830.6728	716.8787	347.8444	533.383
100003304	Other	343.4722	732.8406	1012.5689	1069.9987
04OV023	Ovarian_Cancer	3950.2673	1011.9036	1019.1693	1781.622
11BR009	Breast_Cancer	1460.4147	433.9296	391.8977	642.8667
05BR043	Breast_Cancer	2171.8669	1001.4286	1169.0919	1379.1846
01BR020	Breast_Cancer	1357.2573	663.5982	516.2739	800.5374
01CO014	Colon_Cancer	4692.6962	1953.2705	1122.2713	1414.0771
01BR008	Breast_Cancer	2338.8617	2239.1833	1678.3014	3256.2389
01BR044	Breast_Cancer	1001.1303	747.6323	1417.7125	1632.6402
01OV045	Ovarian_Cancer	2146.2938	441.046	877.6371	1100.188
11CO037	Colon_Cancer	1942.7225	908.5886	1114.9047	1759.5993
21BR002	Breast_Cancer	1250.6098	1592.4118	1521.1704	1703.005
05CO047	Colon_Cancer	1394.36	678.3128	608.1768	902.2248
16CO011	Colon_Cancer	1104.5081	916.648	893.027	1358.4425
04OV051	Ovarian_Cancer	2908.8935	1778.6549	1253.6936	2099.2166
06CO001	Colon_Cancer	894.6734	301.4044	373.3118	532.3198
06BR003	Breast_Cancer	1294.3723	640.4452	468.4121	676.879
20BR007	Breast_Cancer	1962.2646	285.3061	266.2636	638.0615
01BR040	Breast_Cancer	2478.3272	2471.2065	2274.6464	3478.507
11CO043	Colon_Cancer	557.3764	877.0938	878.826	680.8591
03BR005	Breast_Cancer	1140.873	889.6251	528.1527	965.8112
11BR019	Breast_Cancer	1396.4424	876.2242	1042.5421	1136.1971
11BR020	Breast_Cancer	2744.1609	2079.864	1995.4702	2552.5143
100004028	Other	1435.9035	1645.7642	1394.2564	2085.6072
20CO004	Colon_Cancer	302.1423	103.999	46.4218	113.6598
02OV022	Ovarian_Cancer	1825.3935	875.4396	730.0978	1728.5528
04OV033	Ovarian_Cancer	2267.9891	636.1226	385.1668	574.8709
20CO001	Colon_Cancer	1618.8807	576.9056	629.6925	865.9669
05BR042	Breast_Cancer	943.8132	507.6014	594.5444	879.3991
01OV026	Ovarian_Cancer	1926.3028	950.1398	650.2597	984.2953
17OV019	Ovarian_Cancer	2497.1401	558.3518	842.2221	664.5848
06BR006	Breast_Cancer	843.4954	338.2196	256.5534	450.6668
09CO018	Colon_Cancer	3946.7874	913.704	634.761	1235.3817
02OV042	Ovarian_Cancer	3352.7469	1325.9341	1817.8904	2350.2954
11BR027	Breast_Cancer	1473.144	813.3666	705.6699	709.6741
05CO050	Colon_Cancer	1217.0168	607.6353	259.4165	429.2875
01BR015	Breast_Cancer	1347.1413	1399.5415	1168.3414	2010.3771
20BR002	Breast_Cancer	636.7528	541.6123	206.26	405.8347
05BR051	Breast_Cancer	1390.0318	737.9438	568.5995	1019.9731
11BR013	Breast_Cancer	660.8133	543.0295	213.1163	298.9621
11BR049	Breast_Cancer	3435.1714	1832.6854	568.6836	2343.5212
16CO006	Colon_Cancer	1386.8762	768.5048	614.7334	850.351
01BR001	Breast_Cancer	411.4446	298.8679	481.1181	536.0251
17OV011	Ovarian_Cancer	319.9337	206.5941	216.9037	289.0045
05CO037	Colon_Cancer	1810.0604	717.2565	673.2103	904.9739
18BR019	Breast_Cancer	1827.9347	1582.003	632.3118	1274.8017
26OV009	Ovarian_Cancer	230.9502	393.557	358.8137	195.5368
03BR002	Breast_Cancer	1032.6767	580.2015	262.3944	427.4974
11CO036	Colon_Cancer	2332.8432	811.9501	766.7808	749.2644
20CO007	Colon_Cancer	1757.7351	873.645	624.0957	813.925
05CO034	Colon_Cancer	833.3526	429.6403	612.7544	785.5821
18OV001	Ovarian_Cancer	419.3473	25.3954	47.6831	33.5247
01OV013	Ovarian_Cancer	4390.6761	746.2089	1011.6642	1625.8068
02OV005	Ovarian_Cancer	1549.4452	899.7558	618.8745	963.5542
05CO054	Colon_Cancer	1876.7723	1171.4765	1326.1627	1853.1798
17OV034	Ovarian_Cancer	3719.7298	758.0153	513.2998	1024.2736
05CO011	Colon_Cancer	657.1315	627.1016	613.8039	744.8449
14CO003	Colon_Cancer	551.4825	1605.3088	1758.7245	2506.7206
05BR038	Breast_Cancer	1897.4057	1309.3135	439.4548	1471.6212
20BR006	Breast_Cancer	1180.9222	219.3198	165.7456	383.8707
05CO049	Colon_Cancer	1448.5631	1229.3181	464.3819	1016.6035
01OV007	Ovarian_Cancer	3339.8206	1012.4854	852.0728	1456.645
05CO006	Colon_Cancer	2845.8813	1499.1042	1598.1451	2430.8579
05CO032	Colon_Cancer	3855.7591	1434.662	1745.5668	3257.915
21BR010	Breast_Cancer	1162.5432	432.1463	206.3989	399.2407
20BR001	Breast_Cancer	5890.2404	2180.014	2100.0686	2897.9047
06BR014	Breast_Cancer	871.2981	1141.5297	365.9831	562.3557
11CO018	Colon_Cancer	2570.8966	1301.1504	565.6939	826.5637
01BR027	Breast_Cancer	886.5863	411.4234	298.352	657.0991
11BR025	Breast_Cancer	507.2257	305.5729	165.1709	225.8673
01OV046	Ovarian_Cancer	1038.3804	453.322	449.5357	673.6374
09CO014	Colon_Cancer	2780.7958	2563.7135	1737.5044	4749.1443
11BR036	Breast_Cancer	441.0445	358.5844	153.8661	185.8701
